pH,Temperature,Turbidity,TDS,DO,BOD,COD,status
7.4,21.6,6.9,225,6.9,5.2,9.4,Moderate
6.4,13.9,2.3,120,8.5,2.1,4.5,Good
7.6,22.2,7.6,233,6.8,5.4,9.8,Moderate
7.1,19.7,4.7,195,7.4,3.8,7.2,Moderate
8.0,24.8,10.5,295,6.0,7.3,13.2,Poor
6.8,16.8,3.4,152,7.9,3.0,6.0,Good
7.5,21.0,6.7,220,7.1,4.8,8.7,Moderate
6.6,15.0,2.8,140,8.1,2.7,5.4,Good
7.7,23.0,8.0,240,6.8,5.7,10.4,Moderate
7.2,20.2,5.4,200,7.5,4.1,7.5,Moderate
8.2,27.0,12.2,330,5.4,8.2,14.8,Poor
6.9,17.5,3.6,162,7.8,3.1,6.2,Good
7.3,20.0,5.6,205,7.4,4.3,7.8,Moderate
6.7,15.8,3.0,142,8.0,2.8,5.6,Good
7.8,23.3,8.4,250,6.7,5.9,10.7,Moderate
7.0,19.0,4.1,178,7.7,3.3,6.5,Good
8.1,25.5,11.5,310,5.8,7.9,14.2,Poor
6.5,14.0,2.5,126,8.4,2.3,4.7,Good
7.4,21.4,6.5,223,7.0,4.9,8.9,Moderate
6.8,18.5,3.2,150,8.2,2.0,4.5,Good
7.2,20.1,5.0,180,7.5,3.2,6.0,Good
8.5,25.0,45.0,850,3.2,12.5,25.0,Poor
6.0,22.0,120.0,2000,1.5,45.0,95.0,Hazardous
7.5,19.0,8.0,220,6.8,4.5,8.2,Moderate
5.5,28.0,300.0,3500,0.8,80.0,180.0,Hazardous
7.0,17.0,4.0,160,7.8,2.8,5.5,Good
9.2,24.0,90.0,1200,2.0,25.0,50.0,Poor
6.3,16.0,6.5,190,7.2,3.5,6.8,Moderate
4.0,30.0,500.0,5000,0.2,120.0,250.0,Hazardous
7.8,21.0,15.0,400,5.5,8.0,15.0,Poor
6.5,15.0,2.5,130,8.5,1.8,4.0,Good
3.8,32.0,600.0,6000,0.1,150.0,300.0,Hazardous
7.4,18.0,10.0,250,6.0,6.5,12.0,Moderate
8.8,26.0,70.0,900,2.5,20.0,40.0,Poor
6.2,14.0,3.0,140,8.0,2.2,4.8,Good
2.5,35.0,800.0,8000,0.0,200.0,400.0,Hazardous
7.6,20.0,12.0,300,5.8,7.0,13.5,Poor
6.9,19.5,5.5,200,7.0,4.0,7.5,Moderate
9.5,27.0,150.0,1800,1.0,50.0,100.0,Hazardous
7.1,18.0,4.5,180,7.8,2.5,5.0,Good
6.9,19.5,5.2,200,7.2,3.8,7.0,Good
8.3,24.0,40.0,800,3.5,15.0,30.0,Poor
5.8,22.5,150.0,2200,1.2,50.0,110.0,Hazardous
7.4,20.0,10.0,300,6.5,5.0,9.5,Moderate
4.2,29.0,350.0,3800,0.5,90.0,200.0,Hazardous
7.0,17.5,6.0,220,7.0,4.2,8.0,Moderate
9.0,25.0,80.0,1100,2.2,28.0,60.0,Poor
6.5,16.0,7.5,240,6.8,4.8,9.0,Moderate
3.5,33.0,450.0,5200,0.1,130.0,280.0,Hazardous
7.6,21.0,18.0,420,5.0,9.0,18.0,Poor
6.7,15.5,3.5,160,8.0,2.0,4.2,Good
2.8,36.0,700.0,7500,0.0,180.0,380.0,Hazardous
7.3,19.0,12.0,280,6.0,6.0,11.5,Moderate
8.6,26.5,65.0,950,2.8,22.0,45.0,Poor
6.4,14.5,4.0,170,7.5,2.8,5.5,Good
2.0,38.0,900.0,8500,0.0,220.0,450.0,Hazardous
7.7,22.0,25.0,350,4.5,12.0,25.0,Poor
6.8,20.5,8.0,260,6.2,5.5,10.0,Moderate
9.3,28.0,180.0,2000,0.8,60.0,130.0,Hazardous
7.2,18.5,5.5,210,7.1,4.0,7.8,Moderate
6.3,13.0,2.8,140,8.3,1.5,3.8,Good
9.5,30.0,250.0,3000,0.3,100.0,220.0,Hazardous
7.5,21.5,15.0,380,5.2,8.5,16.0,Poor
6.6,17.0,6.5,230,6.5,4.5,8.5,Moderate
4.5,27.0,400.0,4500,0.4,110.0,240.0,Hazardous
7.8,23.0,30.0,500,3.8,20.0,40.0,Poor
6.2,12.0,2.0,120,8.7,1.0,3.0,Good
3.0,34.0,600.0,7000,0.0,160.0,350.0,Hazardous
7.9,24.5,50.0,900,2.5,25.0,55.0,Poor
6.1,11.5,1.8,110,9.0,0.8,2.5,Good
2.5,37.0,800.0,9000,0.0,240.0,500.0,Hazardous
8.0,27.0,100.0,1500,1.5,40.0,90.0,Hazardous
6.0,10.0,1.5,100,9.5,0.5,2.0,Good
7.1,19.0,7.0,250,6.0,5.0,9.0,Moderate
8.4,29.0,200.0,2500,0.7,70.0,160.0,Hazardous
6.9,16.5,5.0,190,7.3,3.5,6.5,Good
5.0,26.0,300.0,4000,0.6,85.0,190.0,Hazardous
7.2,20.0,9.0,270,6.3,5.8,10.5,Moderate
8.7,31.0,350.0,5000,0.2,120.0,260.0,Hazardous
6.4,13.5,3.0,150,8.1,1.8,4.0,Good
4.0,28.0,450.0,5500,0.3,95.0,210.0,Hazardous
7.3,22.5,20.0,400,4.0,15.0,30.0,Poor
6.7,14.0,4.5,180,7.6,2.7,5.2,Good
9.1,32.0,500.0,6000,0.1,140.0,300.0,Hazardous
7.4,23.5,35.0,600,3.0,18.0,38.0,Poor
6.5,15.0,5.5,200,7.0,4.0,7.5,Moderate
3.8,35.0,700.0,8000,0.0,170.0,370.0,Hazardous
7.5,25.0,60.0,1000,1.8,30.0,70.0,Hazardous
6.8,17.5,7.0,240,6.4,4.7,8.8,Moderate
8.8,33.0,400.0,4500,0.4,105.0,230.0,Hazardous
7.0,18.0,8.5,260,6.1,5.2,9.8,Moderate
5.5,24.0,250.0,3500,0.5,75.0,170.0,Hazardous
7.6,21.0,22.0,420,4.2,10.0,20.0,Poor
6.9,16.0,6.0,220,6.7,4.3,8.2,Moderate
8.5,34.0,550.0,6500,0.1,130.0,290.0,Hazardous
7.7,22.0,28.0,480,3.5,16.0,35.0,Poor
6.3,12.5,3.2,155,8.2,1.7,3.9,Good
4.8,30.0,380.0,4200,0.5,80.0,180.0,Hazardous
7.8,26.0,70.0,1200,1.2,35.0,80.0,Hazardous
6.2,11.0,2.2,130,8.8,1.2,3.2,Good
3.2,36.5,650.0,7200,0.0,190.0,400.0,Hazardous
7.9,28.0,120.0,1800,0.9,45.0,100.0,Hazardous
6.1,10.5,1.7,115,9.2,0.7,2.8,Good
2.7,37.5,750.0,8200,0.0,210.0,430.0,Hazardous
8.1,29.0,150.0,2200,0.6,55.0,120.0,Hazardous
6.0,9.5,1.3,95,9.8,0.4,2.2,Good
7.2,19.5,9.5,290,5.8,6.0,11.0,Moderate
8.9,35.0,300.0,3800,0.3,90.0,200.0,Hazardous
6.4,14.5,4.8,195,7.4,3.0,6.0,Good
5.2,25.0,220.0,3300,0.7,65.0,150.0,Hazardous
7.3,20.5,11.0,310,5.5,7.0,13.0,Moderate
9.2,36.0,450.0,5200,0.2,110.0,250.0,Hazardous
6.5,15.5,5.8,205,6.9,4.2,8.0,Moderate
4.3,31.0,380.0,4300,0.4,100.0,220.0,Hazardous
7.4,23.0,25.0,450,3.8,14.0,28.0,Poor
6.6,16.5,6.8,235,6.3,4.8,9.2,Moderate
8.6,37.0,500.0,5800,0.1,140.0,310.0,Hazardous
7.5,24.0,40.0,700,2.2,22.0,50.0,Poor
6.7,17.0,7.2,245,6.1,5.0,9.5,Moderate
5.7,26.5,280.0,3600,0.6,70.0,160.0,Hazardous
7.6,27.0,90.0,1300,1.0,38.0,85.0,Hazardous
6.8,18.0,8.0,255,5.9,5.5,10.2,Moderate
9.0,38.0,600.0,7000,0.0,160.0,350.0,Hazardous
7.7,25.0,55.0,950,1.5,28.0,65.0,Poor
6.9,19.0,9.0,275,5.7,6.2,11.5,Moderate
8.2,39.0,700.0,8000,0.0,180.0,390.0,Hazardous
7.0,20.0,10.5,295,5.5,6.8,12.8,Moderate
5.8,27.0,320.0,3900,0.5,85.0,190.0,Hazardous
7.8,26.0,75.0,1100,1.2,32.0,75.0,Hazardous
6.1,12.0,2.5,145,8.5,1.5,3.5,Good
4.6,32.0,420.0,4800,0.3,95.0,210.0,Hazardous
7.9,30.0,180.0,2400,0.7,50.0,110.0,Hazardous
6.2,13.0,3.5,165,7.9,2.2,4.5,Good
3.4,40.0,800.0,9000,0.0,200.0,450.0,Hazardous
8.0,31.0,220.0,2800,0.5,60.0,130.0,Hazardous
6.3,14.0,4.0,175,7.7,2.5,5.0,Good
5.3,28.0,350.0,4100,0.4,75.0,170.0,Hazardous
7.1,21.0,14.0,330,4.8,9.5,18.5,Poor
6.4,15.0,5.0,185,7.2,3.2,6.2,Good
8.3,41.0,900.0,10000,0.0,250.0,500.0,Hazardous
7.2,22.0,18.0,370,4.0,12.0,25.0,Poor
6.5,16.0,6.2,215,6.8,4.5,8.5,Moderate
9.4,42.0,1000.0,12000,0.0,300.0,600.0,Hazardous
7.3,23.0,30.0,520,3.2,17.0,35.0,Poor
6.6,17.0,7.5,250,6.0,5.2,10.0,Moderate
8.7,43.0,1200.0,15000,0.0,350.0,700.0,Hazardous
7.4,24.0,45.0,750,2.5,20.0,45.0,Poor
6.7,18.0,8.5,265,5.8,5.8,11.0,Moderate
9.6,44.0,1500.0,18000,0.0,400.0,800.0,Hazardous
7.5,25.0,65.0,1050,1.8,30.0,70.0,Hazardous
6.8,19.0,9.5,280,5.5,6.5,12.5,Moderate
8.8,45.0,2000.0,20000,0.0,500.0,1000.0,Hazardous
7.6,26.0,85.0,1250,1.2,35.0,80.0,Hazardous
6.9,20.0,10.0,290,5.2,7.0,13.5,Moderate
9.7,46.0,2500.0,25000,0.0,600.0,1200.0,Hazardous
7.7,27.0,110.0,1500,0.9,40.0,90.0,Hazardous
7.0,21.0,11.5,300,5.0,7.5,14.5,Moderate
8.9,47.0,3000.0,30000,0.0,700.0,1500.0,Hazardous
7.8,28.0,140.0,1800,0.7,45.0,100.0,Hazardous
7.1,22.0,13.0,320,4.8,8.0,16.0,Moderate
9.8,48.0,3500.0,35000,0.0,800.0,1800.0,Hazardous
7.9,29.0,170.0,2100,0.5,50.0,110.0,Hazardous
7.2,23.0,15.0,340,4.5,8.5,17.0,Moderate
9.9,49.0,4000.0,40000,0.0,900.0,2000.0,Hazardous
8.0,30.0,200.0,2400,0.3,55.0,120.0,Hazardous
7.3,24.0,18.0,360,4.2,9.0,18.0,Moderate
10.0,50.0,5000.0,50000,0.0,1000.0,2500.0,Hazardous
7.0,18.0,3.5,150,8.2,1.8,4.0,Good
7.2,19.5,4.8,180,7.5,2.9,6.5,Good
6.8,17.2,2.1,120,8.5,1.5,3.8,Good
7.5,20.1,6.0,220,6.8,4.2,8.0,Moderate
6.9,16.8,3.0,140,8.0,2.2,4.5,Good
7.3,21.0,7.5,240,6.5,5.0,9.5,Moderate
7.1,18.5,4.2,170,7.8,2.7,5.8,Good
6.7,15.5,1.9,110,8.9,1.2,3.2,Good
7.4,22.0,8.0,260,6.3,5.5,10.2,Moderate
6.5,14.0,2.5,130,8.6,1.7,3.9,Good
7.6,23.5,9.2,280,5.9,6.2,11.8,Moderate
7.0,19.0,5.5,200,7.2,3.8,7.2,Moderate
6.6,16.2,3.2,160,7.9,2.5,5.0,Good
7.7,24.0,10.5,300,5.5,7.0,13.5,Moderate
6.4,13.8,2.0,125,8.7,1.4,3.5,Good
7.8,25.0,12.0,320,5.0,8.0,15.0,Moderate
6.3,12.5,1.7,105,9.0,1.0,3.0,Good
7.9,26.0,14.0,350,4.5,9.5,17.5,Moderate
6.2,11.8,1.5,95,9.3,0.8,2.8,Good
7.2,20.5,6.5,230,6.7,4.5,8.5,Moderate
6.8,17.5,3.8,175,7.7,2.8,5.5,Good
7.5,22.5,8.5,270,6.0,5.8,11.0,Moderate
6.9,18.0,4.5,190,7.4,3.2,6.2,Good
7.3,23.0,9.8,290,5.7,6.5,12.2,Moderate
6.5,15.0,2.8,145,8.3,2.0,4.2,Good
7.6,24.5,11.0,310,5.2,7.5,14.0,Moderate
6.4,14.2,2.3,135,8.4,1.9,4.0,Good
7.7,25.5,13.0,330,4.8,8.5,16.0,Moderate
6.3,13.0,1.8,115,8.8,1.3,3.4,Good
7.8,26.5,15.0,360,4.2,9.8,18.5,Moderate
6.2,12.0,1.6,100,9.1,0.9,3.1,Good
7.9,27.0,16.0,380,3.8,10.5,20.0,Moderate
6.1,11.5,1.4,90,9.4,0.7,2.9,Good
7.0,19.5,5.0,210,7.0,3.5,6.8,Moderate
6.7,16.5,3.5,165,7.6,2.6,5.2,Good
7.4,22.2,7.8,250,6.2,5.2,9.8,Moderate
6.8,17.8,4.0,185,7.3,3.0,6.0,Good
7.5,23.2,9.0,290,5.8,6.0,11.5,Moderate
6.6,16.0,3.3,155,7.8,2.4,4.8,Good
7.6,24.0,10.0,300,5.3,6.8,12.8,Moderate
6.5,15.2,2.7,140,8.1,2.1,4.3,Good
7.7,25.0,12.5,320,4.9,7.8,14.5,Moderate
6.4,14.5,2.4,130,8.2,1.8,4.1,Good
7.8,26.0,14.5,340,4.4,9.0,17.0,Moderate
6.3,13.5,2.1,120,8.5,1.6,3.7,Good
7.9,27.5,17.0,370,3.9,11.0,21.0,Moderate
6.2,12.8,1.9,110,8.7,1.1,3.3,Good
7.1,20.0,5.8,220,6.9,4.0,7.5,Moderate
6.9,18.5,4.3,195,7.2,3.3,6.5,Good
7.3,22.0,8.2,280,6.1,5.5,10.5,Moderate
6.7,17.0,3.7,170,7.5,2.7,5.3,Good
7.4,23.0,9.5,310,5.6,6.2,11.8,Moderate
6.8,18.0,4.2,200,7.0,3.5,6.8,Moderate
7.2,21.0,6.8,240,6.4,4.8,9.0,Moderate
6.6,16.8,3.4,180,7.4,2.9,5.8,Good
7.5,24.0,10.8,330,5.1,7.2,13.5,Moderate
6.5,15.5,2.9,150,8.0,2.3,4.6,Good
7.6,25.0,13.5,350,4.7,8.2,15.5,Moderate
6.4,14.8,2.6,145,8.1,2.0,4.4,Good
7.7,26.0,15.5,370,4.2,9.5,18.0,Moderate
6.3,13.8,2.2,135,8.3,1.7,4.0,Good
7.8,27.0,17.5,390,3.7,10.8,20.5,Moderate
6.2,12.5,1.8,125,8.6,1.2,3.6,Good
7.9,28.0,19.0,410,3.3,12.0,23.0,Moderate
6.1,11.8,1.6,115,8.9,0.8,3.2,Good
7.0,19.8,5.5,230,6.7,4.2,8.0,Moderate
6.8,17.5,4.0,205,7.1,3.2,6.2,Good
7.3,22.5,8.8,300,5.9,6.5,12.0,Moderate
6.7,16.2,3.6,190,7.3,2.8,5.5,Good
7.4,23.5,10.2,320,5.4,7.0,13.0,Moderate
6.6,15.8,3.1,175,7.6,2.5,5.0,Good
7.5,24.5,12.0,340,4.9,7.8,14.5,Moderate
6.5,14.5,2.8,160,7.9,2.2,4.7,Good
7.6,25.5,14.0,360,4.4,8.5,16.0,Moderate
6.4,13.8,2.5,150,8.0,1.9,4.3,Good
7.7,26.5,16.0,380,3.9,9.5,18.5,Moderate
6.3,12.8,2.0,140,8.2,1.5,3.9,Good
7.8,27.5,18.0,400,3.5,10.5,20.0,Moderate
6.2,11.5,1.7,130,8.5,1.0,3.5,Good
7.9,28.5,20.0,420,3.0,11.5,22.0,Moderate
6.1,10.8,1.5,120,8.8,0.7,3.1,Good
7.1,20.5,6.0,250,6.5,4.5,8.5,Moderate
6.9,18.8,4.5,210,7.0,3.5,6.8,Moderate
7.2,21.5,7.2,270,6.0,5.0,9.5,Moderate
6.7,17.2,3.8,195,7.2,3.0,6.0,Good
7.3,22.8,9.2,310,5.7,6.2,11.5,Moderate
6.8,18.2,4.3,220,6.8,3.8,7.2,Moderate
7.4,23.8,10.5,330,5.2,7.2,13.2,Moderate
6.6,16.5,3.5,200,7.1,3.2,6.3,Good
7.5,24.8,12.5,350,4.7,8.0,15.0,Moderate
6.5,15.0,3.0,185,7.4,2.7,5.5,Good
7.6,25.8,14.5,370,4.2,9.0,17.0,Moderate
6.4,14.0,2.7,170,7.7,2.3,4.9,Good
7.7,26.8,16.5,390,3.8,10.0,19.0,Moderate
6.3,13.0,2.3,160,7.9,1.8,4.2,Good
7.8,27.8,18.5,410,3.3,11.0,21.0,Moderate
6.2,12.0,2.0,150,8.1,1.3,3.8,Good
7.9,28.8,20.5,430,2.9,12.0,23.0,Moderate
6.1,11.0,1.8,140,8.4,0.9,3.4,Good
7.0,19.2,5.2,240,6.6,4.0,7.8,Moderate
6.8,17.8,4.1,215,6.9,3.5,6.7,Moderate
7.3,22.2,8.5,290,5.8,5.8,11.0,Moderate
6.7,16.8,3.7,205,7.0,3.0,6.0,Good
7.4,23.2,9.8,320,5.3,6.8,12.5,Moderate
6.6,15.5,3.2,190,7.3,2.6,5.2,Good
7.5,24.2,11.5,340,4.8,7.5,14.0,Moderate
6.5,14.8,2.9,180,7.5,2.4,4.8,Good
7.6,25.2,13.5,360,4.3,8.5,16.0,Moderate
6.4,13.5,2.6,170,7.8,2.1,4.5,Good
7.7,26.2,15.5,380,3.8,9.5,18.0,Moderate
6.3,12.5,2.2,160,8.0,1.7,4.1,Good
7.8,27.2,17.5,400,3.4,10.5,20.0,Moderate
6.2,11.8,2.0,150,8.2,1.2,3.7,Good
7.9,28.2,19.5,420,2.9,11.5,22.0,Moderate
6.1,10.5,1.7,140,8.5,0.8,3.3,Good
7.1,20.0,6.2,260,6.4,4.8,9.0,Moderate
6.9,18.5,4.6,225,6.7,3.8,7.0,Moderate
7.2,21.0,7.5,280,5.9,5.2,9.8,Moderate
6.7,17.0,3.9,210,7.1,3.3,6.2,Good
7.3,22.0,9.0,300,5.6,6.0,11.2,Moderate
6.8,18.0,4.4,230,6.6,4.0,7.5,Moderate
7.4,23.0,10.0,330,5.1,7.0,13.0,Moderate
6.6,16.0,3.6,220,6.9,3.5,6.5,Moderate
7.5,24.0,12.0,350,4.6,8.0,15.0,Moderate
6.5,15.2,3.1,200,7.2,3.0,6.0,Good
7.6,25.0,14.0,370,4.1,9.0,17.0,Moderate
6.4,14.2,2.8,190,7.4,2.5,5.0,Good
7.7,26.0,16.0,390,3.6,10.0,19.0,Moderate
6.3,13.2,2.4,180,7.6,2.0,4.6,Good
7.8,27.0,18.0,410,3.1,11.0,21.0,Moderate
6.2,12.2,2.1,170,7.9,1.5,4.0,Good
7.9,28.0,20.0,430,2.7,12.0,23.0,Moderate
6.1,11.2,1.9,160,8.1,1.0,3.6,Good
7.0,19.0,5.5,250,6.3,4.5,8.2,Moderate
6.8,17.5,4.2,235,6.5,4.0,7.2,Moderate
7.3,21.5,8.0,290,5.7,5.5,10.5,Moderate
6.7,16.5,3.8,225,6.8,3.8,6.8,Moderate
7.4,22.5,9.5,310,5.2,6.5,12.0,Moderate
6.6,15.8,3.4,215,6.9,3.2,6.3,Good
7.5,23.5,11.0,340,4.7,7.8,14.5,Moderate
6.5,14.5,3.0,205,7.1,2.8,5.5,Good
7.6,24.5,13.0,360,4.2,8.8,16.5,Moderate
6.4,13.8,2.7,195,7.3,2.3,4.9,Good
7.7,25.5,15.0,380,3.7,9.8,18.5,Moderate
6.3,12.8,2.5,185,7.5,1.8,4.4,Good
7.8,26.5,17.0,400,3.2,10.8,20.5,Moderate
6.2,11.5,2.2,175,7.8,1.3,4.0,Good
7.9,27.5,19.0,420,2.8,11.8,22.5,Moderate
6.1,10.8,2.0,165,8.0,0.9,3.5,Good
7.1,19.5,6.0,270,6.2,5.0,9.2,Moderate
6.9,18.2,4.7,245,6.4,4.2,7.5,Moderate
7.2,20.8,7.8,300,5.8,5.8,11.0,Moderate
6.7,17.2,4.0,235,6.6,4.0,7.0,Moderate
7.3,22.2,9.2,320,5.4,6.2,11.8,Moderate
6.8,18.5,4.5,255,6.3,4.5,8.0,Moderate
7.4,23.2,10.5,340,5.0,7.5,14.0,Moderate
6.6,16.2,3.7,245,6.5,4.0,7.2,Moderate
7.5,24.2,12.5,370,4.5,8.5,16.0,Moderate
6.5,15.0,3.2,225,6.8,3.5,6.5,Moderate
7.6,25.2,14.5,390,4.0,9.5,18.0,Moderate
6.4,14.0,2.9,215,7.0,3.0,6.0,Good
7.7,26.2,16.5,410,3.5,10.5,20.0,Moderate
6.3,13.0,2.6,205,7.2,2.2,4.8,Good
7.8,27.2,18.5,430,3.0,11.5,22.0,Moderate
6.2,12.0,2.3,195,7.5,1.5,4.2,Good
7.9,28.2,20.5,450,2.6,12.5,24.0,Moderate
6.1,11.0,2.1,185,7.8,1.0,3.8,Good
8.176,20.018,2.068,34.08768,7.472,6.1390400000000005,15.3476,Good
8.175,19.986,1.994,34.08256,7.455,6.36248,15.906199999999998,Good
8.171,20.001,2.03,34.08128,7.43,6.11408,15.2852,Good
8.171,19.983,1.973,34.08448,7.419,6.1912400000000005,15.478100000000001,Good
8.171,19.986,1.944,34.081920000000004,7.429,6.0732800000000005,15.1832,Good
8.158,19.834,2.124,34.1216,7.43,6.409120000000001,16.0228,Good
8.158,19.829,1.95,34.12544,7.435,6.43872,16.096799999999998,Good
8.159,19.822,2.033,34.13568,7.459,5.95996,14.899899999999999,Good
8.166,19.804,1.995,34.13696,7.446,5.92772,14.819299999999998,Good
8.168,19.77,1.973,34.145920000000004,7.454,5.964600000000001,14.9115,Good
8.167,19.741,2.014,34.15168,7.447,5.65408,14.135200000000001,Good
8.17,19.712,1.845,34.153600000000004,7.426,5.4847600000000005,13.7119,Good
8.169,19.711,1.861,34.15232,7.404,5.841480000000001,14.6037,Good
8.17,19.703,2.397,34.15424,7.198,5.95524,14.8881,Good
8.174,19.701,2.34,34.1472,7.204,6.00968,15.0242,Good
8.166,19.652,3.375,34.136320000000005,4.89,6.733960000000001,16.8349,Fair
8.168,19.634,2.213,34.139520000000005,6.78,5.927320000000001,14.8183,Good
8.169,19.59,2.074,34.13504,7.145,6.322,15.805,Good
8.168,19.585,2.498,34.131840000000004,6.646,6.2072,15.518,Good
8.161,19.555,1.689,34.13504,7.301,6.1402,15.3505,Good
8.164,19.539,3.742,34.141439999999996,7.022,7.78432,19.4608,Good
8.166,19.371,2.154,34.0768,6.942,6.4756800000000005,16.1892,Good
8.162,19.367,1.628,34.0448,7.276,6.018160000000001,15.0454,Good
8.162,19.444,1.899,34.07808,7.261,5.86132,14.6533,Good
8.163,19.451,1.756,34.03392,7.221,5.475280000000001,13.6882,Good
8.159,19.534,1.935,34.07808,7.222,5.590120000000001,13.9753,Good
8.155,19.611,2.145,34.13504,7.257,5.603080000000001,14.007700000000002,Good
8.153,19.623,2.298,34.13376,7.287,5.766240000000001,14.415600000000001,Good
8.155,19.663,2.195,34.136320000000005,7.332,5.445240000000001,13.613100000000001,Good
8.155,19.81,1.988,34.1408,7.457,5.2888,13.222,Good
8.155,19.849,2.014,34.13376,7.451,5.537120000000001,13.8428,Good
8.159,19.913,1.717,34.13056,7.502,5.26804,13.1701,Good
8.158,20.007,1.684,34.11648,7.56,4.9733600000000004,12.4334,Good
